Designator,Mid X,Mid Y,Rotation,Layer
A1,166.625,-88.9,180.0,top
A2,85.81,-129.56,180.0,top
BT1,114.275,-62.0,90.0,top
C1,196.4,-81.8,180.0,top
C10,78.2,-95.15,270.0,top
C100,49.7,-42.25,180.0,top
C101,47.15,-45.2,90.0,top
C102,96.15,-42.4,270.0,top
C103,82.95,-45.8,270.0,bottom
C104,82.95,-40.2,270.0,bottom
C105,77.6,-51.3,270.0,bottom
C106,71.5,-48.75,0.0,bottom
C107,61.6,-49.83,270.0,bottom
C108,55.12,-43.6,180.0,bottom
C109,51.85,-51.85,180.0,bottom
C11,187.4,-48.4,90.0,top
C110,86.95,-43.0,270.0,bottom
C111,82.95,-43.0,270.0,bottom
C112,66.4,-48.0,0.0,bottom
C113,76.45,-47.55,90.0,bottom
C114,86.95,-40.2,270.0,bottom
C115,67.63,-46.5,0.0,bottom
C116,74.95,-47.55,90.0,bottom
C117,75.95,-50.75,180.0,bottom
C118,64.999293,-54.700707,180.0,bottom
C119,72.7,-47.57,90.0,bottom
C12,73.6,-91.0,180.0,top
C120,69.5,-46.75,270.0,bottom
C121,69.8,-49.7,180.0,bottom
C122,60.05,-67.6,180.0,top
C123,55.4,-56.25,180.0,top
C124,50.22,-62.6,180.0,top
C125,73.1,-45.55,180.0,bottom
C126,53.7,-64.4,180.0,top
C127,53.7,-69.65,180.0,top
C128,56.8,-67.5,90.0,top
C129,56.45,-62.35,90.0,top
C13,204.6,-61.8,0.0,top
C130,62.7,-43.05,90.0,top
C131,73.5,-46.85,90.0,bottom
C132,71.5,-46.35,0.0,bottom
C133,80.6,-37.55,90.0,top
C134,86.95,-45.78,270.0,bottom
C135,67.85,-51.55,90.0,bottom
C136,63.68,-62.2,180.0,bottom
C137,59.9,-51.5,0.0,bottom
C138,88.85,-45.8,270.0,bottom
C139,84.85,-43.0,270.0,bottom
C14,178.88,-66.6,180.0,top
C140,88.85,-40.2,270.0,bottom
C141,108.2,-39.45,180.0,top
C142,53.7,-47.8,270.0,bottom
C143,60.3,-43.6,0.0,bottom
C144,53.7,-49.8,270.0,bottom
C145,55.9,-51.5,180.0,bottom
C146,88.85,-43.0,270.0,bottom
C147,84.85,-40.2,270.0,bottom
C148,105.3,-41.65,0.0,top
C149,88.85,-37.4,270.0,bottom
C15,181.4,-72.8,180.0,top
C150,108.7,-46.15,270.0,top
C151,84.85,-37.4,270.0,bottom
C152,114.85,-42.2,90.0,top
C153,113.5,-42.35,90.0,top
C154,107.4,-37.35,90.0,top
C155,84.85,-45.78,270.0,bottom
C156,111.1,-35.25,180.0,bottom
C157,53.7,-45.815,270.0,bottom
C158,107.4,-35.5,270.0,top
C159,111.1,-39.0,0.0,top
C16,181.4,-73.95,180.0,top
C17,178.88,-67.8,180.0,top
C18,194.2,-74.4,270.0,top
C185,113.2,-142.0,270.0,top
C186,112.2,-142.0,270.0,top
C187,192.4,-81.179999,90.0,top
C188,191.4,-81.179999,90.0,top
C189,189.4,-81.159999,90.0,top
C19,188.6,-48.4,90.0,top
C190,188.4,-81.159999,90.0,top
C191,186.4,-81.179999,90.0,top
C192,185.4,-81.179999,90.0,top
C193,183.3,-81.129999,90.0,top
C194,182.3,-81.129999,90.0,top
C195,121.7,-141.3,270.0,top
C196,120.45,-141.5,270.0,top
C197,104.2,-141.35,270.0,top
C198,102.95,-141.98,90.0,top
C199,222.6,-35.0,0.0,top
C2,200.4,-79.2,180.0,top
C20,199.4,-48.2,90.0,top
C200,159.6,-64.55,270.0,top
C201,158.1,-64.9,270.0,top
C202,142.35,-64.45,270.0,top
C203,140.85,-64.65,270.0,top
