Designator,Footprint,Quantity,Value,LCSC Part #
A1,LattePanda_Module_H8.0mm_Horizontal,1,LattePanda_Mu,
BT1,Battery_Holder_CR1220_S8411-45R,1,Battery_Cell,
"C100, C101",0402,2,9p,AC0402CRNPO9BN9R0
"C102, C103, C104, C105, C106, C107, C108, C110, C111, C114, C115, C116, C117, C119, C120, C121, C122, C124, C125, C130, C131, C132, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C153, C155, C156, C157, C158, C94, C96, C97, C98, C99",0402,50,u1,TMK105BJ104KV-F
"C109, C112, C113, C118, C126, C127, C128, C129, C133, C152, C159, C95",0603,12,4u7,LMK107BJ475KAHT
C123,CP_Elec_6.3x5.9,1,150u,A765EB157M1ALAE022
C154,0402,1,1n 50V C0G,GCM1555C1H102JA16J
"C160, C161, C171, C184",0402,4,1uF/16V,
"C162, C163, C164, C165",0805,4,22uF/25V,
"C166, C168",C_0603,2,2.2uF/50V,
"C167, C195, C197, C200, C202, C206, C208, C76, C90, C92",0402,10,10uF/10V,
"C169, C170, C178, C179, C187, C188, C189, C190, C191, C192, C193, C194, C196, C198, C199, C201, C203, C207, C209, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C77, C80, C81, C82, C83, C84, C91, C93",0402,38,100nF/16V,
"C174, C175, C176, C177, C180, C181, C182, C183, C85, C86, C87",0603,11,22uF/10V,
"C185, C186, C204, C205, C49, C50, C88, C89",0402,8,220nF/16V,
"C78, C79",0402,2,12pF/50V,
"D10, D17, D21",0603,3,BLU,ORH-B36G
D11,0603,1,ORA,NCD0603O1
D12,0603,1,RED,NCD0603R1
D13,SOT-323_SC-70,1,BAT54AW,BAT54AW-7-F
D16,D_SOD-523,1,ESD5Z5.0T1G,ESD5Z5.0T1G
"D18, D20",0603,2,PNK,OSK40603C1E
"D19, D9",0603,2,WHT,NCD0603W1
"D22, D23",UDFN-14_3.5x1.35mm_P0.5mm,2,SP3012-06UTG,SP3012-06UTG
D24,D_SOD-323,1,CDSOD323-T36S,CDSOD323-T36S
"D25, D8",0603,2,GRN,NCD0603G1
D26,SOT-323_SC-70,1,BAT54CW,BAT54CW-7-F
D27,D_SMA,1,SMAJ26CA,
"D28, D29, D30",D_SMA,3,SS54,
"D3, D35, D36, D37, D38, D39, D4, D5, D6",0402,9,0402ESDA-05N,
"D31, D34, D7",0603,3,LED_G,
D32,0603,1,LED_R,
"D33, D40",D_SOD-323,2,1N5819WS,
"F1, F2",0805,2,6V/2A,
"F3, F4",0805,2,6V/1A,
F5,R_1206,1,BSMD1206C-2100T,
F6,0603,1,6V/50mA,
FB2,0402,1,"600R, 0.5A",BLM15PX601SZ1D
"H1, H2, H3, H4",MountingHole_2.7mm_Pad_TopOnly,4,MountingHole_Pad,
H5,MountingHole_2.7mm_Pad_TopOnly,1,MountingHole_M2.0,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J2, J31, J34",PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyE,3,Bus_M.2_Socket_E,
J22,RJ45_UDE_RB1-125B8G1A,1,RJ45_RB1-125B8G1A,
J23,USB3_A_Molex_48406-0001_Horizontal_Stacked,1,USB3_A_Stacked,
