Designator,Mid X,Mid Y,Rotation,Layer
A1,168.325,-50.1,0.0,top
BT1,160.35,-32.75,90.0,top
C100,49.7,-42.25,180.0,top
C101,47.15,-45.2,90.0,top
C102,96.15,-42.4,270.0,top
C103,82.95,-45.8,270.0,bottom
C104,82.95,-40.2,270.0,bottom
C105,77.6,-51.3,270.0,bottom
C106,71.5,-48.75,0.0,bottom
C107,61.6,-49.83,270.0,bottom
C108,55.12,-43.6,180.0,bottom
C109,53.2,-51.55,180.0,bottom
C110,86.95,-43.0,270.0,bottom
C111,82.95,-43.0,270.0,bottom
C112,66.4,-48.45,0.0,bottom
C113,76.2,-47.55,90.0,bottom
C114,86.95,-40.2,270.0,bottom
C115,67.63,-46.95,0.0,bottom
C116,75.0,-47.55,90.0,bottom
C117,75.45,-50.85,180.0,bottom
C118,65.95,-53.375,270.0,bottom
C119,72.7,-47.57,90.0,bottom
C120,69.5,-46.75,270.0,bottom
C121,69.8,-49.7,180.0,bottom
C122,60.05,-67.6,180.0,top
C123,55.4,-56.25,180.0,top
C124,50.22,-62.6,180.0,top
C125,73.1,-45.55,180.0,bottom
C126,53.7,-63.95,180.0,top
C127,53.7,-69.05,180.0,top
C128,56.3,-67.45,90.0,top
C129,56.3,-62.35,90.0,top
C130,62.7,-43.05,90.0,top
C131,73.5,-46.85,90.0,bottom
C132,71.5,-46.35,0.0,bottom
C133,80.05,-38.3,0.0,top
C134,86.95,-45.78,270.0,bottom
C135,67.85,-51.55,90.0,bottom
C136,63.68,-62.2,180.0,bottom
C137,59.9,-51.5,0.0,bottom
C138,88.85,-45.8,270.0,bottom
C139,84.85,-43.0,270.0,bottom
C140,88.85,-40.2,270.0,bottom
C141,108.2,-39.45,180.0,top
C142,53.7,-47.8,270.0,bottom
C143,60.3,-43.6,0.0,bottom
C144,53.7,-49.8,270.0,bottom
C145,55.9,-51.5,180.0,bottom
C146,88.85,-43.0,270.0,bottom
C147,84.85,-40.2,270.0,bottom
C148,105.3,-41.65,0.0,top
C149,88.85,-37.4,270.0,bottom
C150,108.7,-46.15,270.0,top
C151,84.85,-37.4,270.0,bottom
C152,114.7,-42.35,90.0,top
